date_time,pm2.5,pm10,o3,no2,so2,co
2021-09-21,,,,,,
2021-09-22,,,,,,
2021-09-23,,,,,,
2021-09-24,,,,,,
2021-09-25,,,,,,
2021-09-26,,,,,,
2021-09-27,,,,,,
2021-09-28,,,,,,
2021-09-29,,,,,,
2021-09-30,,,,,,
2021-10-01,,,,,,
2021-10-02,,,,,,
2021-10-03,,,,,,
2021-10-04,,,,,,
2021-10-05,,,,,,
2021-10-06,,,,,,
2021-10-07,,,16,11,26,1
2021-10-08,,,22,11,25,0
2021-10-09,,,27,11,25,0
2021-10-10,,,17,11,24,0
2021-10-11,,,13,11,24,0
2021-10-12,,,18,11,26,0
2021-10-13,,,18,11,26,0
2021-10-14,,,13,11,26,0
2021-10-15,,,17,11,26,0
2021-10-16,,,14,11,25,0
2021-10-17,,,18,11,24,0
2021-10-18,,,13,11,17,0
2021-10-19,,,12,17,8,1
2021-10-20,,,20,13,8,0
2021-10-21,,,15,17,8,0
2021-10-22,,,14,16,8,0
2021-10-23,,,39,17,8,0
2021-10-24,,,34,14,8,0
2021-10-25,,,37,16,8,0
2021-10-26,,,35,15,8,0
2021-10-27,,,25,16,8,0
2021-10-28,,,,,,
2021-10-29,,,15,19,8,0
2021-10-30,,,17,19,8,3
2021-10-31,,,16,18,8,0
2021-11-01,,,12,21,8,1
2021-11-02,,,13,20,8,0
2021-11-03,,,16,17,8,0
2021-11-04,,,14,18,8,0
2021-11-05,,,16,19,8,0
2021-11-06,,,14,15,8,0
2021-11-07,,,16,12,8,0
2021-11-08,,,24,12,8,0
2021-11-09,,,28,11,8,0
2021-11-10,,,,,,
2021-11-11,,,,,,
2021-11-12,,,,,,
2021-11-13,,,,,,
2021-11-14,,,,,,
2021-11-15,,,,,,
2021-11-16,,,,,,
2021-11-17,,,,,,
2021-11-18,,,,,,
2021-11-19,,,,,,
2021-11-20,,,19,12,8,1
2021-11-21,,,15,12,8,0
2021-11-22,,,17,12,8,0
2021-11-23,,,33,12,8,0
2021-11-24,,,27,12,8,0
2021-11-25,,,27,12,8,0
2021-11-26,,,41,12,8,0
2021-11-27,,,52,12,8,0
2021-11-28,,,44,12,8,0
2021-11-29,,,44,12,8,0
2021-11-30,,,56,12,9,0
2021-12-01,,,40,12,9,0
2021-12-02,,,42,12,8,0
2021-12-03,,,37,12,8,0
2021-12-04,,,38,12,9,0
2021-12-05,,,44,12,8,0
2021-12-06,,,52,12,8,0
2021-12-07,,,46,12,8,0
2021-12-08,,,41,12,8,0
2021-12-09,,,25,12,8,1
2021-12-10,,,26,12,8,1
2021-12-11,,,28,12,8,0
2021-12-12,,,34,12,8,0
2021-12-13,,,50,12,8,0
2021-12-14,,,33,12,8,1
2021-12-15,,,26,12,8,1
2021-12-16,,,24,12,8,1
2021-12-17,,,25,12,8,0
2021-12-18,,,44,12,8,0
2021-12-19,,,44,12,8,0
2021-12-20,,,43,12,8,0
2021-12-21,,,36,12,8,0
2021-12-22,,,32,12,8,0
2021-12-23,,,33,12,8,0
2021-12-24,,,25,12,8,0
2021-12-25,,,28,12,8,0
2021-12-26,,,31,12,8,0
2021-12-27,,,30,12,8,0
2021-12-28,,,21,12,8,0
2021-12-29,,,24,12,8,0
2021-12-30,,,35,12,8,0
2021-12-31,,,35,12,8,0
2022-01-01,,,36,12,8,0
2022-01-02,,,39,12,8,0
2022-01-03,,,38,12,8,0
2022-01-04,,,26,12,8,0
2022-01-05,,,22,12,8,1
2022-01-06,,,24,12,8,1
2022-01-07,,,24,12,8,0
2022-01-08,,,19,12,8,1
2022-01-09,,,18,12,8,1
2022-01-10,,,24,12,8,0
2022-01-11,,,23,12,8,0
2022-01-12,,,28,12,8,0
2022-01-13,,,37,12,8,1
2022-01-14,,,26,12,8,1
2022-01-15,,,23,12,8,1
2022-01-16,,,21,12,8,1
2022-01-17,,,17,12,11,1
2022-01-18,,,27,12,8,0
2022-01-19,,,19,12,8,1
2022-01-20,,,,,,
2022-01-21,,,23,12,8,0
2022-01-22,,,25,12,9,1
2022-01-23,,,16,12,8,1
2022-01-24,,,24,12,8,1
2022-01-25,,,13,12,8,1
2022-01-26,,,12,12,8,1
2022-01-27,,,17,12,8,1
2022-01-28,,,18,12,8,1
2022-01-29,,,24,12,8,0
2022-01-30,,,24,12,8,0
2022-01-31,,,19,12,8,0
2022-02-01,,,,,,
2022-02-02,,,21,12,8,0
2022-02-03,,,,,,
2022-02-04,,,,,,
2022-02-05,,,,,,
2022-02-06,,,,,,
2022-02-07,,,,,,
2022-02-08,,,21,12,8,0
2022-02-09,,,23,12,8,0
2022-02-10,,,21,12,8,0
2022-02-11,,,20,12,8,1
2022-02-12,,,26,12,8,0
2022-02-13,,,28,12,8,0
2022-02-14,,,21,12,8,0
2022-02-15,,,28,12,8,0
2022-02-16,,,22,12,8,0
2022-02-17,,,22,12,8,0
2022-02-18,,,22,12,8,0
2022-02-19,,,20,12,8,0
2022-02-20,,,22,12,8,0
2022-02-21,,,21,12,8,0
2022-02-22,,,26,12,8,0
2022-02-23,,,47,12,8,0
2022-02-24,,,35,12,8,0
2022-02-25,,,30,12,8,0
2022-02-26,,,34,12,8,
2022-02-27,,,62,12,8,
2022-02-28,,,28,12,8,
2022-03-01,,,36,12,8,
2022-03-02,,,56,12,8,
2022-03-03,,,23,12,8,
2022-03-04,,,21,12,8,
2022-03-05,,,18,12,8,
2022-03-06,,,19,12,8,
2022-03-07,,,16,12,8,
2022-03-08,,,62,12,8,
2022-03-09,,,42,12,8,
2022-03-10,,,188,12,8,
2022-03-11,,,84,12,9,
2022-03-12,,,52,12,8,
2022-03-13,,,28,12,8,
2022-03-14,,,19,12,8,
2022-03-15,,,21,12,8,
2022-03-16,,,19,12,8,
2022-03-17,,,70,12,8,
2022-03-18,,,75,12,8,
2022-03-19,,,32,12,8,0
2022-03-20,,,38,12,8,0
2022-03-21,,,61,12,8,0
2022-03-22,,,69,12,9,0
2022-03-23,,,103,12,8,0
2022-03-24,,,97,12,8,0
2022-03-25,,,128,12,8,0
2022-03-26,,,59,13,9,0
2022-03-27,,,,,,
2022-03-28,,,,,,
2022-03-29,,,,,,
2022-03-30,,,29,12,8,
2022-03-31,,,17,12,8,
2022-04-01,,,17,12,8,
2022-04-02,,,34,12,8,
2022-04-03,,,36,12,8,
2022-04-04,,,57,12,8,
2022-04-05,,,48,12,8,
2022-04-06,,,38,12,8,
2022-04-07,,,55,12,8,
2022-04-08,,,,,,
2022-04-09,,,,,,
2022-04-10,,,,,,
2022-04-11,,,,,,
2022-04-12,,,,,,
2022-04-13,,,,,,
2022-04-14,,,,,,
2022-04-15,,,,,,
2022-04-16,,,,,,
2022-04-17,,,,,,
2022-04-18,,,,,,
2022-04-19,,,,,,
2022-04-20,,,33,12,8,
2022-04-21,,,51,12,8,
2022-04-22,,,33,12,9,
2022-04-23,,,35,12,9,
2022-04-24,,,43,12,9,
2022-04-25,,,24,12,9,
2022-04-26,,,24,12,9,
2022-04-27,,,44,12,9,
2022-04-28,,,30,12,9,
2022-04-29,,,27,12,8,
2022-04-30,,,18,12,8,
2022-05-01,,,17,12,8,
2022-05-02,,,37,12,8,
2022-05-03,,,38,12,8,
2022-05-04,,,37,12,8,
2022-05-05,,,42,12,9,
2022-05-06,,,36,12,9,
2022-05-07,,,27,12,9,
2022-05-08,,,21,12,8,
2022-05-09,,,18,12,9,
2022-05-10,,,16,12,8,
2022-05-11,,,30,12,9,
2022-05-12,,,29,12,9,
2022-05-13,,,27,12,9,
2022-05-14,,,26,12,9,
2022-05-15,,,168,12,9,
2022-05-16,,,305,12,9,
2022-05-17,,,351,12,9,
2022-05-18,,,276,12,9,
2022-05-19,,,119,15,9,
2022-05-20,,,38,12,9,
2022-05-21,,,56,12,9,
2022-05-22,,,66,12,9,
2022-05-23,,,100,12,9,
2022-05-24,,,110,12,9,
2022-05-25,,,102,12,9,
2022-05-26,,,159,12,9,
2022-05-27,,,185,12,9,
2022-05-28,,,260,12,9,
2022-05-29,,,387,12,9,
2022-05-30,,,302,12,9,
2022-05-31,,,240,12,9,
2022-06-01,,,96,12,9,
2022-06-02,,,148,12,9,
2022-06-03,,,165,12,9,
2022-06-04,,,144,12,9,
2022-06-05,,,106,12,9,
2022-06-06,,,242,12,9,
2022-06-07,,,183,12,9,
2022-06-08,,,134,12,9,
2022-06-09,,,117,12,9,
2022-06-10,,,198,12,9,
2022-06-11,,,177,12,9,
2022-06-12,,,148,12,9,
2022-06-13,,,56,12,9,
2022-06-14,,,159,12,9,
2022-06-15,,,71,12,9,
2022-06-16,,,106,12,9,
2022-06-17,,,59,12,9,
2022-06-18,,,157,12,9,
2022-06-19,,,87,12,9,
2022-06-20,,,74,12,9,
2022-06-21,,,69,12,9,
2022-06-22,,,66,12,9,
2022-06-23,,,130,12,9,
2022-06-24,,,44,11,9,
2022-06-25,,,43,12,9,
2022-06-26,,,39,12,9,
2022-06-27,,,39,12,9,
2022-06-28,,,28,12,9,
2022-06-29,,,30,12,9,
2022-06-30,,,38,12,9,
2022-07-01,,,27,12,9,
2022-07-02,,,22,12,9,
2022-07-03,,,27,12,9,
2022-07-04,,,24,36,9,
2022-07-05,,,23,12,9,
2022-07-06,,,20,12,9,
2022-07-07,,,16,12,9,
2022-07-08,,,22,12,9,
2022-07-09,,,18,12,9,
2022-07-10,,,12,12,9,
2022-07-11,,,7,12,9,1
2022-07-12,,,12,12,9,0
2022-07-13,,,9,12,9,0
2022-07-14,,,8,12,9,0
2022-07-15,,,13,12,9,0
2022-07-16,,,13,12,9,0
2022-07-17,,,10,12,9,0
2022-07-18,,,13,12,9,0
2022-07-19,,,12,12,9,0
2022-07-20,,,6,12,9,1
2022-07-21,,,19,11,9,0
2022-07-22,,,16,12,9,0
2022-07-23,,,10,12,9,0
2022-07-24,,,12,12,9,0
2022-07-25,,,,,,
2022-07-26,,,10,12,9,1
2022-07-27,,,,,,
2022-07-28,,,,,,
2022-07-29,,,,,,
2022-07-30,,,,,,
2022-07-31,,,,,,
2022-08-01,,,,,,
2022-08-02,,,,,,
2022-08-03,,,,,,
2022-08-04,,,,,,
2022-08-05,,,,,,
2022-08-06,,,,,,
2022-08-07,,,,,,
2022-08-08,,,,,,
2022-08-09,,,,,,
2022-08-10,,,,,,
2022-08-11,,,,,,
2022-08-12,,,,,,
2022-08-13,,,,,,
2022-08-14,,,,,,
2022-08-15,,,,,,
2022-08-16,,,,,,
2022-08-17,,,,,,
2022-08-18,,,,,,
2022-08-19,,,,,,
2022-08-20,,,,,,
2022-08-21,,,,,,
2022-08-22,,,,,,
2022-08-23,,,,,,
2022-08-24,,,,,,
2022-08-25,,,,,,
2022-08-26,,,,,,
2022-08-27,,,,,,
2022-08-28,,,,,,
2022-08-29,,,,,,
2022-08-30,,,,,,
2022-08-31,,,13,12,9,0
2022-09-01,,,,,,
2022-09-02,,,14,12,9,0
2022-09-03,,,21,12,9,0
2022-09-04,,,15,12,9,0
2022-09-05,,,21,12,9,0
2022-09-06,,,25,12,9,0
2022-09-07,,,20,12,9,1
2022-09-08,,,14,12,9,0
2022-09-09,,,,,,
2022-09-10,,,,,,
2022-09-11,,,28,12,9,0
2022-09-12,,,16,12,9,0
2022-09-13,,,12,12,9,0
2022-09-14,,,12,12,9,0
2022-09-15,,,11,12,9,0
2022-09-16,,,15,11,9,0
2022-09-17,,,16,12,9,0
2022-09-18,,,14,12,9,0
2022-09-19,,,13,12,9,0
2022-09-20,,,13,12,9,0
2022-09-21,,,13,12,9,1
2022-09-22,,,10,12,9,0
2022-09-23,,,9,12,9,1
2022-09-24,,,8,12,9,1
2022-09-25,,,14,12,9,0
2022-09-26,,,12,12,9,0
2022-09-27,,,21,11,9,0
2022-09-28,,,8,15,9,0
2022-09-29,,,12,11,9,0
2022-09-30,,,12,12,9,0
2022-10-01,,,10,12,9,1
2022-10-02,,,11,12,9,1
2022-10-03,,,8,11,9,1
2022-10-04,,,6,12,9,1
2022-10-05,,,6,12,9,1
2022-10-06,,,8,12,9,1
2022-10-07,,,10,12,9,
2022-10-08,,,10,12,9,
2022-10-09,,,9,12,9,
2022-10-10,,,26,12,9,
2022-10-11,,,32,12,9,
2022-10-12,,,43,12,9,
2022-10-13,,,36,11,9,1
2022-10-14,,,33,12,9,1
2022-10-15,,,20,12,9,1
2022-10-16,,,36,12,9,1
2022-10-17,,,44,11,9,1
2022-10-18,,,52,12,9,1
2022-10-19,,,34,12,9,1
2022-10-20,,,28,11,9,1
2022-10-21,,,24,12,9,1
2022-10-22,,,22,12,9,
2022-10-23,,,34,11,9,
2022-10-24,,,31,12,9,
2022-10-25,,,16,12,9,
2022-10-26,,,18,12,9,
2022-10-27,,,17,12,9,
2022-10-28,,,25,11,9,
2022-10-29,,,34,12,9,
2022-10-30,,,34,11,9,
2022-10-31,,,34,12,9,
2022-11-01,,,35,12,9,
2022-11-02,,,33,12,9,
2022-11-03,,,32,12,9,
2022-11-04,,,32,12,9,
2022-11-05,,,28,12,9,
2022-11-06,,,28,11,9,
2022-11-07,,,28,11,9,
2022-11-08,,,24,11,9,
2022-11-09,,,22,12,9,
2022-11-10,,,14,12,9,
2022-11-11,,,12,12,9,
2022-11-12,,,11,12,10,
2022-11-13,,,14,11,9,
2022-11-14,,,14,12,9,
2022-11-15,,,12,12,9,
2022-11-16,,,12,11,9,
2022-11-17,,,12,12,9,
2022-11-18,,,13,12,9,
2022-11-19,,,15,11,9,
2022-11-20,,,19,11,9,
2022-11-21,,,16,11,9,
2022-11-22,,,13,12,9,
2022-11-23,,,11,11,9,
2022-11-24,,,16,12,9,
2022-11-25,,,14,12,9,
2022-11-26,,,11,11,9,
2022-11-27,,,14,12,9,
2022-11-28,,,14,11,9,
2022-11-29,,,16,11,9,
2022-11-30,,,16,11,9,
2022-12-01,,,17,11,9,
2022-12-02,,,18,12,9,
2022-12-03,,,16,11,9,
2022-12-04,,,18,12,9,
2022-12-05,,,34,12,9,
2022-12-06,,,27,12,9,
2022-12-07,,,19,12,9,
2022-12-08,,,19,12,9,
2022-12-09,,,11,12,9,
2022-12-10,,,19,12,9,
2022-12-11,,,12,12,9,
2022-12-12,,,27,11,9,
2022-12-13,,,30,12,9,
2022-12-14,,,23,12,9,
2022-12-15,,,30,12,9,
2022-12-16,,,24,12,9,
2022-12-17,,,23,12,9,
2022-12-18,,,22,12,9,
2022-12-19,,,17,11,9,
2022-12-20,,,26,12,9,
2022-12-21,,,46,12,9,
2022-12-22,,,69,12,9,
2022-12-23,,,38,12,9,
2022-12-24,,,26,12,9,
2022-12-25,,,27,12,9,
2022-12-26,,,16,11,9,
2022-12-27,,,17,12,9,
2022-12-28,,,15,11,9,2500
2022-12-29,,,28,12,9,2500
2022-12-30,,,22,11,9,2500
2022-12-31,,,25,11,9,2500
2023-01-01,,,26,12,9,2500
2023-01-02,,,22,12,9,2500
2023-01-03,,,16,12,9,2500
2023-01-04,,,16,12,9,2500
2023-01-05,,,17,12,9,
2023-01-06,,,22,12,9,
2023-01-07,,,19,12,9,
2023-01-08,,,23,11,9,
2023-01-09,,,20,11,9,
2023-01-10,,,22,12,9,
2023-01-11,,,23,12,9,
2023-01-12,,,20,11,9,
2023-01-13,,,,,,
2023-01-14,,,,,,
2023-01-15,,,,,,
2023-01-16,,,,,,
2023-01-17,,,,,,
2023-01-18,,,,,,
2023-01-19,,,,,,
2023-01-20,,,21,12,9,500
2023-01-21,,,23,11,9,500
2023-01-22,,,18,11,9,500
2023-01-23,,,13,11,9,500
2023-01-24,,,18,11,9,500
2023-01-25,,,19,11,9,500
2023-01-26,,,15,12,9,500
2023-01-27,,,17,11,9,500
2023-01-28,,,19,11,9,
2023-01-29,,,24,12,9,
2023-01-30,,,18,12,9,
2023-01-31,,,21,12,9,
2023-02-01,,,18,12,9,
2023-02-02,,,10,11,9,
2023-02-03,,,,,,
2023-02-04,,,,,,
2023-02-05,,,,,,
2023-02-06,,,,,,
2023-02-07,,,,,,
2023-02-08,,,,,,
2023-02-09,,,,,,
2023-02-10,,,,,,
2023-02-11,,,14,12,9,
2023-02-12,,,13,11,9,
2023-02-13,,,12,11,9,
2023-02-14,,,15,12,9,
2023-02-15,,,20,11,9,
2023-02-16,,,33,12,9,
2023-02-17,,,31,11,9,
2023-02-18,,,23,12,9,
2023-02-19,,,26,12,9,
2023-02-20,,,28,12,9,
2023-02-21,,,32,11,9,
2023-02-22,,,23,12,9,
2023-02-23,,,16,12,9,
2023-02-24,,,24,11,9,
2023-02-25,,,38,12,9,
2023-02-26,,,40,12,9,
2023-02-27,,,31,12,9,
2023-02-28,,,17,12,9,
2023-03-01,,,17,11,9,
2023-03-02,,,23,11,9,
2023-03-03,,,26,11,9,
2023-03-04,,,30,11,9,
2023-03-05,,,40,12,9,
2023-03-06,,,31,11,9,
2023-03-07,,,21,11,9,
2023-03-08,,,18,12,9,
2023-03-09,,,20,12,9,
2023-03-10,,,16,11,9,
2023-03-11,,,20,11,9,
2023-03-12,,,22,12,9,
2023-03-13,,,32,12,9,
2023-03-14,,,28,11,9,
2023-03-15,,,24,11,9,
2023-03-16,,,24,11,9,
2023-03-17,,,25,11,9,
2023-03-18,,,21,11,9,
2023-03-19,,,18,11,9,
2023-03-20,,,21,12,9,
2023-03-21,,,48,11,9,
2023-03-22,,,37,12,9,
2023-03-23,,,28,11,9,
2023-03-24,,,21,11,9,
2023-03-25,,,20,12,9,
2023-03-26,,,21,11,9,
2023-03-27,,,21,11,9,
2023-03-28,,,22,12,9,
2023-03-29,,,24,12,9,
2023-03-30,,,29,12,9,
2023-03-31,6,19,18,13,9,600
2023-04-01,11,30,18,14,8,42
2023-04-02,3,9,18,14,8,25
2023-04-03,1,3,18,12,9,142
2023-04-04,1,3,22,13,8,83
2023-04-05,1,3,19,18,8,100
2023-04-06,1,3,20,17,8,167
2023-04-07,1,3,18,18,8,117
2023-04-08,1,3,20,18,8,8
2023-04-09,,,31,18,8,0
2023-04-10,14,39,29,19,8,83
2023-04-11,18,45,30,18,8,75
2023-04-12,13,34,24,18,8,58
2023-04-13,9,27,23,18,8,75
2023-04-14,10,31,23,18,8,33
2023-04-15,16,39,18,17,8,133
2023-04-16,11,31,20,17,8,83
2023-04-17,19,47,22,17,8,33
2023-04-18,24,49,27,16,8,108
2023-04-19,31,61,39,16,8,100
2023-04-20,34,64,45,16,8,308
2023-04-21,38,72,34,16,8,136
2023-04-22,19,46,26,16,8,133
2023-04-23,34,66,24,16,8,50
2023-04-24,41,67,20,16,9,75
2023-04-25,6,18,18,16,8,58
2023-04-26,7,22,23,16,8,33
2023-04-27,6,19,25,16,8,50
2023-04-28,7,22,27,16,8,33
2023-04-29,9,28,26,16,8,17
2023-04-30,6,18,35,16,8,0
2023-05-01,17,37,36,16,8,42
2023-05-02,6,19,24,16,8,50
2023-05-03,8,24,20,16,8,33
2023-05-04,7,23,24,16,8,25
2023-05-05,9,26,29,16,9,67
2023-05-06,9,28,31,16,8,58
2023-05-07,17,42,33,16,8,125
2023-05-08,6,18,55,16,8,17
2023-05-09,6,19,47,16,8,8
2023-05-10,4,14,31,16,8,67
2023-05-11,5,14,36,16,8,133
2023-05-12,5,15,20,16,8,200
2023-05-13,3,8,32,16,8,17
2023-05-14,4,10,40,16,8,8
2023-05-15,5,15,32,16,8,150
2023-05-16,5,16,24,16,9,92
2023-05-17,13,36,23,16,9,225
2023-05-18,22,49,31,16,9,175
2023-05-19,20,47,38,16,9,167
2023-05-20,15,39,32,16,9,108
2023-05-21,8,24,38,16,9,33
2023-05-22,10,28,37,16,9,142
2023-05-23,8,24,43,16,9,92
2023-05-24,6,20,35,16,9,75
2023-05-25,5,14,36,16,9,125
2023-05-26,4,13,43,16,9,67
2023-05-27,4,12,45,16,8,25
2023-05-28,3,8,34,16,8,83
2023-05-29,3,9,34,16,8,17
2023-05-30,3,10,49,16,9,8
2023-05-31,5,16,55,16,9,67
2023-06-01,4,14,48,16,9,83
2023-06-02,4,13,43,16,9,83
2023-06-03,6,20,32,16,9,67
2023-06-04,6,18,34,16,9,42
2023-06-05,6,18,33,16,9,17
2023-06-06,7,20,31,16,9,208
2023-06-07,2,8,27,16,8,156
2023-06-08,3,10,33,16,9,146
2023-06-09,5,15,28,16,9,100
2023-06-10,5,15,31,16,9,109
2023-06-11,4,12,24,16,9,154
2023-06-12,4,11,26,16,9,75
2023-06-13,5,16,29,16,9,125
2023-06-14,3,10,27,16,9,83
2023-06-15,3,8,23,16,9,75
2023-06-16,3,11,25,16,9,31
2023-06-17,3,10,28,16,9,73
2023-06-18,2,6,23,16,9,83
2023-06-19,3,10,28,16,9,167
2023-06-20,3,9,41,16,9,33
2023-06-21,3,8,35,16,9,92
2023-06-22,4,11,38,16,8,33
2023-06-23,4,13,41,16,9,64
2023-06-24,4,12,47,16,9,75
2023-06-25,4,14,42,16,9,42
2023-06-26,4,12,37,16,9,8
2023-06-27,4,12,30,16,9,45
2023-06-28,4,13,24,16,9,11
2023-06-29,5,16,27,16,9,157
